,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
130,50.52,50.52,48.75,49.56,4211800.0,,,49.56,,,1.0,0.0,AA,XNYS,2022-06-27T00:00:00+0000
131,47.19,49.846,46.52,49.36,7385900.0,,,49.36,,,1.0,0.0,AA,XNYS,2022-06-24T00:00:00+0000
132,47.98,48.795,45.22,46.62,8208000.0,,,46.62,,,1.0,0.0,AA,XNYS,2022-06-23T00:00:00+0000
133,47.51,49.87,47.48,48.9,5636035.0,,,48.9,,,1.0,0.0,AA,XNYS,2022-06-22T00:00:00+0000
134,50.79,51.94,49.49,50.08,5540900.0,,,50.08,,,1.0,0.0,AA,XNYS,2022-06-21T00:00:00+0000
135,49.47,50.2,47.64,49.28,8592900.0,,,49.28,,,1.0,0.0,AA,XNYS,2022-06-17T00:00:00+0000
136,48.46,51.86,48.45,49.68,7854837.0,,,49.68,,,1.0,0.0,AA,XNYS,2022-06-16T00:00:00+0000
137,49.55,52.39,49.01,51.11,10389200.0,,,51.11,,,1.0,0.0,AA,XNYS,2022-06-15T00:00:00+0000
138,50.17,50.51,48.3,48.92,5756400.0,,,48.92,,,1.0,0.0,AA,XNYS,2022-06-14T00:00:00+0000
139,49.59,50.92,48.27,49.84,6822766.0,,,49.84,,,1.0,0.0,AA,XNYS,2022-06-13T00:00:00+0000
140,54.04,54.75,52.57,53.01,9352200.0,,,53.01,,,1.0,0.0,AA,XNYS,2022-06-10T00:00:00+0000
141,61.46,61.7,55.56,55.56,10334051.0,,,55.56,,,1.0,0.0,AA,XNYS,2022-06-09T00:00:00+0000
142,64.53,65.899,62.12,62.28,4452400.0,,,62.28,,,1.0,0.0,AA,XNYS,2022-06-08T00:00:00+0000
143,62.8,65.55,62.23,65.51,3808900.0,,,65.51,,,1.0,0.0,AA,XNYS,2022-06-07T00:00:00+0000
144,62.59,64.25,61.195,64.02,4776849.0,,,64.02,,,1.0,0.0,AA,XNYS,2022-06-06T00:00:00+0000
145,62.55,63.05,61.06,61.83,3182000.0,,,61.83,,,1.0,0.0,AA,XNYS,2022-06-03T00:00:00+0000
146,63.7,65.14,62.85,63.83,3923400.0,,,63.83,,,1.0,0.0,AA,XNYS,2022-06-02T00:00:00+0000
147,61.135,63.66,60.64,62.41,4420576.0,,,62.41,,,1.0,0.0,AA,XNYS,2022-06-01T00:00:00+0000
148,66.09,67.52,61.305,61.72,15960281.0,,,61.72,,,1.0,0.0,AA,XNYS,2022-05-31T00:00:00+0000
149,63.59,65.98,63.248,64.5,6886300.0,,,64.5,,,1.0,0.0,AA,XNYS,2022-05-27T00:00:00+0000
150,60.95,63.25,59.745,62.85,5265807.0,,,62.85,,,1.0,0.0,AA,XNYS,2022-05-26T00:00:00+0000
151,60.03,61.4592,58.88,60.94,6135720.0,,,60.94,,,1.0,0.0,AA,XNYS,2022-05-25T00:00:00+0000
152,61.99,62.18,60.09,61.33,6206000.0,,,61.33,,,1.0,0.0,AA,XNYS,2022-05-24T00:00:00+0000
153,62.3,63.65,59.88,63.14,6214327.0,,,63.14,,,1.0,0.0,AA,XNYS,2022-05-23T00:00:00+0000
154,63.06,63.75,58.51,60.57,8738400.0,,,60.57,,,1.0,0.0,AA,XNYS,2022-05-20T00:00:00+0000
155,60.16,64.47,60.11,62.05,6751300.0,,,62.05,,,1.0,0.0,AA,XNYS,2022-05-19T00:00:00+0000
156,62.62,63.8,60.02,60.51,6820310.0,,,60.51,,,1.0,0.0,AA,XNYS,2022-05-18T00:00:00+0000
