symbol,Unnamed: 0,name,has_intraday,has_eod,acronym
CDAY.XTSE,381,CERIDIAN HCM HOLDINGS INC,False,True,TSX
EMA.XTSE,382,EMERA INCORPORATED,False,True,TSX
SJR.A.XTSX,383,SHAW COMMUNICATIONS INC.,False,True,XTSX
MRU.XTSE,384,METRO INC,False,True,TSX
DOL.XTSE,386,DOLLARAMA INC,False,True,TSX
CVE.XTSE,387,CENOVUS ENERGY INC.,False,True,TSX
CTC.XTSE,388,"CANADIAN TIRE CORPORATION, LIMITED",False,True,TSX
CU.XTSE,390,"CANADIAN UTILITIES LTD., CL.A, NV",False,True,TSX
BHC.XTSE,392,BAUSCH HEALTH COMPANIES INC,False,True,TSX
AQN.XTSE,393,ALGONQUIN POWER AND UTILITIES CORP.,False,True,TSX
CAE.XTSE,394,CAE INC,False,True,TSX
WSP.XTSE,397,WSP GLOBAL INC,False,True,TSX
TSGI.XTSE,399,THE STARS GROUP INC,False,True,TSX
AC.XTSE,400,AIR CANADA,False,True,TSX
KL.XTSE,401,KIRKLAND LAKE GOLD LTD,False,True,TSX
K.XTSE,402,KINROSS GOLD CORP.,False,True,TSX
IGM.XTSE,403,IGM FINANCIAL INC.,False,True,TSX
WEED.XTSE,404,CANOPY GROWTH CORPORATION,False,True,TSX
IPL.XTSE,405,INTER PIPELINE LTD,False,True,TSX
ONEX.XTSE,413,ONEX CORPORATION,False,True,TSX
KEY.XTSE,415,KEYERA CORP,False,True,TSX
FM.XTSE,416,FIRST QUANTUM MINERALS LTD,False,True,TSX
IAG.XTSE,417,IA FINANCIAL CORPORATION,False,True,TSX
HSE.XTSE,419,HUSKY ENERGY INC.,False,True,TSX
GIL.XTSE,420,GILDAN ACTIVEWEAR INC.,False,True,TSX
X.XTSE,421,TMX GROUP LIMITED,False,True,TSX
PKI.XTSE,422,PARKLAND FUEL CORPORATION,False,True,TSX
KAT.XTSE,423,KATANGA MINING LIMITED,False,True,TSX
NPI.XTSE,424,NORTHLAND POWER INC.,False,True,TSX
PAAS.XTSE,425,PAN AMERICAN SILVER CORP,False,True,TSX
RBA.XTSE,428,RITCHIE BROS AUCTIONEERS INC.,False,True,TSX
SNC.XTSE,429,SNC-LAVALIN SV,False,True,TSX
ALA.XTSE,431,ALTAGAS LTD.,False,True,TSX
FSV.XTSE,432,FIRSTSERVICE CORPORATION,False,True,TSX
EFN.XTSE,433,ELEMENT FLEET MANAGEMENT CORP,False,True,TSX
TIH.XTSE,434,TOROMONT IND,False,True,TSX
BTO.XTSE,435,B2GOLD CORP.,False,True,TSX
CCA.XTSE,436,COGECO COMMUNICATIONS INC,False,True,TSX
CIX.XTSE,437,CI FINANCIAL CORP.,False,True,TSX
LUN.XTSE,438,LUNDIN MINING CORP.,False,True,TSX
DOO.XTSE,439,BRP INC,False,True,TSX
YRI.XTSE,440,YAMANA GOLD INC,False,True,TSX
DSG.XTSE,442,DESCARTES SYS,False,True,TSX
STN.XTSE,443,STANTEC INC,False,True,TSX
MIC.XTSE,444,GENWORTH MI CANADA INC.,False,True,TSX
RNW.XTSE,445,TRANSALTA RENEWABLES INC,False,True,TSX
CCO.XTSE,446,CAMECO CORP,False,True,TSX
CIGI.XTSE,449,COLLIERS INTERNATIONAL GROUP INC,False,True,TSX
BYD.XTSE,451,BOYD GROUP SERVICES INC,False,True,TSX
GOOS.XTSE,452,CANADA GOOSE HOLDINGS INC,False,True,TSX
OVV.XTSE,453,OVINTIV INC,False,True,TSX
CEF.XTSE,455,SPROTT PHYSICAL GOLD SILVER TRUST,False,True,TSX
GEI.XTSE,456,GIBSON ENERGY INC,False,True,TSX
NG.XTSE,457,NOVAGOLD RES INC.,False,True,TSX
BB.XTSE,458,BLACKBERRY LIMITED,False,True,TSX
CPX.XTSE,459,CAPITAL POWER CORPORATION,False,True,TSX
IVN.XTSE,460,IVANHOE MINES LTD,False,True,TSX
TFII.XTSE,462,TFI INTERNATIONAL INC,False,True,TSX
PEGI.XTSE,463,PATTERN ENERGY GROUP INC,False,True,TSX
INE.XTSE,464,INNERGEX RENEWABLE ENERGY INC.,False,True,TSX
PBH.XTSE,465,PREMIUM BRANDS HOLDINGS CORPORATION,False,True,TSX
WFT.XTSE,466,WEST FRASER TIMBER CO LTD,False,True,TSX
PHYS.XTSE,468,SPROTT PHYSICAL GOLD TRUST CAD,False,True,TSX
FTT.XTSE,470,FINNING INTL,False,True,TSX
BLDP.XTSE,471,BALLARD POWER SYSTEMS INC,False,True,TSX
AGI.XTSE,472,ALAMOS GOLD INC CLS A,False,True,TSX
ELF.XTSE,473,E-L FINANCIAL,False,True,TSX
TOU.XTSE,474,TOURMALINE OIL CORP,False,True,TSX
MX.XTSE,475,METHANEX CORP,False,True,TSX
KXS.XTSE,476,KINAXIS INC,False,True,TSX
TOY.XTSE,477,SPIN MASTER CORP,False,True,TSX
MSFT.XSGO,478,MICROSOFT CORP,False,True,BVS
AAPL.XSGO,479,APPLE INC,False,True,BVS
V.XSGO,480,VISA INC,False,True,BVS
JPM.XSGO,481,JPMORGAN CHASE &CO,False,True,BVS
JNJ.XSGO,482,JOHNSON & JOHNSON,False,True,BVS
WMT.XSGO,483,WALMART INC,False,True,BVS
BAC.XSGO,484,BK OF AMERICA CORP,False,True,BVS
CVX.XSGO,485,CHEVRON CORP,False,True,BVS
PFE.XSGO,486,PFIZER INC,False,True,BVS
BA.XSGO,487,BOEING CO,False,True,BVS
AXP.XSGO,488,AMER EXPRESS CO,False,True,BVS
MMM.XSGO,489,3M COMPANY,False,True,BVS
CAT.XSGO,490,CATERPILLAR INC,False,True,BVS
TGT.XSGO,491,TARGET CORP,False,True,BVS
ENELAM.XSGO,492,ENEL AMERICAS SA,False,True,BVS
COPEC.XSGO,493,EMPRESAS COPEC SA,False,True,BVS
CHILE.XSGO,495,BANCO DE CHILE,False,True,BVS
FALABELLA.XSGO,496,S A C I FALABELLA,False,True,BVS
BSANTANDER.XSGO,497,BCO SANTANDER-CHIL,False,True,BVS
SQM_A.XSGO,498,QUIMICA Y MINERA,False,True,BVS
ENELCHILE.XSGO,499,ENEL CHILE SA,False,True,BVS
BCI.XSGO,500,BCO CREDITO INVERS,False,True,BVS
CMPC.XSGO,501,EMPRESAS CMPC SA,False,True,BVS
LTM.XSGO,502,LATAM AIRLINES GP,False,True,BVS
ANTARCHILE.XSGO,503,ANTARCHILE SA,False,True,BVS
CENCOSUD.XSGO,504,CENCOSUD SA,False,True,BVS
MALLPLAZA.XSGO,505,PLAZA SA,False,True,BVS
ENELGXCH.XSGO,506,ENEL GENERACION CH,False,True,BVS
CCU.XSGO,507,COMPANIA CERVECERI,False,True,BVS
QUINENCO.XSGO,508,QUINENCO SA,False,True,BVS
COLBUN.XSGO,509,COLBUN S.A.,False,True,BVS
BANMEDICA.XSGO,510,BANMEDICA SA,False,True,BVS
AGUAS_A.XSGO,511,AGUAS ANDINAS S.A.,False,True,BVS
ITAUCORP.XSGO,512,ITAU CORPBANCA,False,True,BVS
MINERA.XSGO,513,MINERA VALPARAISO,False,True,BVS
PARAUCO.XSGO,514,PARQUE ARAUCO SA,False,True,BVS
ENTEL.XSGO,515,EMP NAC TELECOMUNI,False,True,BVS
ECL.XSGO,516,ENGIE ENERGIA,False,True,BVS
PEHUENCHE.XSGO,517,ELECTRICA PEHUENCH,False,True,BVS
AESGENER.XSGO,518,AES GENER SA,False,True,BVS
MOLYMET.XSGO,519,MOLIBDENOS Y METAL,False,True,BVS
CONCHATORO.XSGO,520,VINA CONCHA Y TORO,False,True,BVS
SK.XSGO,521,SIGDO KOPPERS S.A.,False,True,BVS
PROVIDA.XSGO,522,AFP PROVIDA,False,True,BVS
VAPORES.XSGO,523,SUDAMERICANA VAPOR,False,True,BVS
PASUR.XSGO,524,FORESTAL PACIFICO,False,True,BVS
ENAEX.XSGO,525,ENAEX SA,False,True,BVS
CGE.XSGO,526,CIA GRAL DE ELECTR,False,True,BVS
